Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
1994-07-25,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1994-07-26,13.0,15.0,13.0,13.0,0.0,0.0,0.0,0.0,,,2.0,0.0
1994-07-27,13.5,14.0,13.5,14.0,0.0,0.0,0.0,0.0,,,0.5,0.5
1994-07-28,14.0,18.75,14.0,17.5,0.0,0.0,0.0,0.0,,,4.75,3.5
1994-07-29,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1994-08-01,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1994-08-02,18.0,20.0,18.0,20.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1994-08-03,16.0,19.0,15.5,19.0,0.0,0.0,0.0,0.0,,,3.5,3.0
1994-08-04,15.0,17.0,15.0,17.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1994-08-05,15.0,18.0,15.0,18.0,0.0,0.0,0.0,0.0,,,3.0,3.0
1994-08-08,15.0,17.0,15.0,17.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1994-08-09,14.0,17.0,14.0,17.0,0.0,0.0,0.0,0.0,,,3.0,3.0
1994-08-10,15.0,17.0,15.0,17.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1994-08-11,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1994-08-12,12.5,16.0,12.5,14.0,0.0,0.0,0.0,0.0,,,3.5,1.5
1994-08-16,12.5,15.0,12.5,15.0,0.0,0.0,0.0,0.0,,,2.5,2.5
1994-08-17,14.0,16.25,14.0,14.0,0.0,0.0,0.0,0.0,,,2.25,0.0
1994-08-18,14.0,16.0,14.0,16.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1994-08-19,12.5,15.0,12.5,15.0,0.0,0.0,0.0,0.0,,,2.5,2.5
1994-08-24,14.0,16.0,12.5,16.0,0.0,0.0,0.0,0.0,,,3.5,2.0
1994-08-25,14.0,16.0,14.0,16.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1994-08-29,14.0,16.0,14.0,16.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1994-08-31,13.75,16.25,13.75,16.25,0.0,0.0,0.0,0.0,,,2.5,2.5
