Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2017-02-21,254.25,259.5,253.0,257.75,257.17,40544.0,1048.0,10426526.0,9129.0,22.52,6.5,3.5
2017-02-22,257.0,261.0,252.6,253.05,256.18,35603.0,1067.0,9120718.0,8450.0,23.73,8.4,-3.95
2017-02-23,253.3,254.6,249.2,250.55,251.99,26262.0,600.0,6617792.0,13570.0,51.67,5.4,-2.75
2017-02-27,251.4,252.0,244.0,247.5,249.58,28019.0,732.0,6992855.0,11992.0,42.8,8.0,-3.9
2017-02-28,248.5,253.5,247.6,248.5,249.88,66735.0,1514.0,16675820.0,13474.0,20.19,5.9,0.0
2017-03-01,248.0,251.3,247.5,247.9,249.2,57062.0,1257.0,14219715.0,10631.0,18.63,3.8,-0.1
2017-03-02,249.0,249.35,244.35,245.1,246.36,71282.0,1571.0,17561297.0,17706.0,24.84,5.0,-3.9
2017-03-03,245.7,246.75,243.0,243.85,244.81,28205.0,710.0,6904840.0,10541.0,37.37,3.75,-1.85
2017-03-06,247.0,248.85,244.0,244.7,246.56,46744.0,896.0,11525277.0,16387.0,35.06,4.85,-2.3
2017-03-07,245.0,246.15,240.6,241.15,243.15,39606.0,926.0,9630113.0,14184.0,35.81,5.55,-3.85
2017-03-08,242.6,244.3,239.4,240.05,241.62,45891.0,1128.0,11088359.0,14998.0,32.68,4.9,-2.55
2017-03-09,240.0,242.3,238.6,238.95,240.17,23095.0,606.0,5546731.0,8396.0,36.35,3.7,-1.05
2017-03-10,241.5,243.8,239.65,240.45,241.49,29178.0,740.0,7046151.0,7527.0,25.8,4.15,-1.05
2017-03-14,244.0,249.9,242.0,242.55,245.63,71108.0,2046.0,17466137.0,21748.0,30.58,7.9,-1.45
2017-03-15,243.0,248.0,242.1,242.85,244.64,38779.0,1138.0,9486833.0,12664.0,32.66,5.9,-0.15
2017-03-16,244.0,247.3,242.1,244.05,244.77,39907.0,894.0,9767879.0,18727.0,46.93,5.2,0.05
2017-03-17,244.1,246.0,238.9,239.8,241.41,48845.0,1100.0,11791586.0,22986.0,47.06,7.1,-4.3
2017-03-20,240.0,241.15,238.25,238.85,239.67,33056.0,659.0,7922418.0,14499.0,43.86,2.9,-1.15
2017-03-21,240.0,240.95,233.0,235.15,237.21,49369.0,1193.0,11710733.0,21037.0,42.61,7.95,-4.85
2017-03-22,234.85,245.15,232.0,238.75,240.29,95013.0,2255.0,22830278.0,19631.0,20.66,13.15,3.9
2017-03-23,239.4,241.5,236.75,237.6,239.27,56042.0,1433.0,13409195.0,22677.0,40.46,4.75,-1.8
2017-03-24,238.0,242.9,237.5,238.3,240.36,96139.0,2027.0,23108117.0,44883.0,46.69,5.4,0.3
2017-03-27,238.95,239.55,236.0,237.15,237.59,22395.0,580.0,5320850.0,9877.0,44.1,3.55,-1.8
2017-03-28,238.35,241.55,237.0,237.65,238.83,35837.0,999.0,8558848.0,10232.0,28.55,4.55,-0.7
2017-03-29,237.5,239.3,234.0,235.7,236.44,55710.0,940.0,13172035.0,34559.0,62.03,5.3,-1.8
2017-03-30,237.3,239.5,236.5,237.45,238.04,26010.0,573.0,6191316.0,11157.0,42.9,3.0,0.15
2017-03-31,238.0,239.05,235.3,236.55,237.77,36485.0,661.0,8675183.0,18351.0,50.3,3.75,-1.45
2017-04-03,237.05,242.4,237.05,239.0,239.8,67705.0,1367.0,16235476.0,26719.0,39.46,5.35,1.95
2017-04-05,239.9,252.0,238.8,250.65,245.37,276892.0,4371.0,67940741.0,112693.0,40.7,13.2,10.75
2017-04-06,249.0,252.65,246.25,246.9,248.59,52814.0,1122.0,13129002.0,22199.0,42.03,6.4,-2.1
2017-04-07,247.9,260.0,243.4,252.25,254.56,188568.0,3871.0,48001369.0,49130.0,26.05,16.6,4.35
2017-04-10,254.1,263.2,253.1,255.25,258.72,158789.0,3009.0,41081564.0,39950.0,25.16,10.1,1.15
2017-04-11,256.5,259.5,253.5,254.5,256.36,77029.0,1568.0,19747387.0,18155.0,23.57,6.0,-2.0
2017-04-12,255.3,255.3,243.95,249.3,248.41,64701.0,1667.0,16072178.0,15327.0,23.69,11.35,-6.0
2017-04-13,249.5,254.8,243.0,249.85,251.13,57023.0,1232.0,14320116.0,15940.0,27.95,11.8,0.35
2017-04-17,250.95,253.2,248.0,249.15,249.97,39394.0,937.0,9847391.0,8788.0,22.31,5.2,-1.8
2017-04-18,251.65,257.8,245.1,247.2,253.2,89453.0,1942.0,22649384.0,28150.0,31.47,12.7,-4.45
2017-04-19,248.0,248.0,241.55,243.65,244.31,49187.0,1095.0,12016748.0,15702.0,31.92,6.45,-4.35
2017-04-20,244.9,249.0,244.1,245.65,246.69,38863.0,873.0,9587123.0,9305.0,23.94,4.9,0.75
2017-04-21,246.0,250.5,243.35,245.6,246.81,69481.0,1314.0,17148410.0,18736.0,26.97,7.15,-0.4
2017-04-24,246.0,248.7,243.15,244.15,245.29,32247.0,641.0,7909756.0,13812.0,42.83,5.55,-1.85
2017-04-25,246.6,250.0,246.05,247.6,247.9,34858.0,732.0,8641349.0,14931.0,42.83,3.95,1.0
2017-04-26,249.1,251.4,244.3,245.25,248.44,56548.0,1187.0,14048556.0,20014.0,35.39,7.1,-3.85
2017-04-27,246.05,250.35,243.4,245.8,247.39,74740.0,1443.0,18490115.0,14285.0,19.11,6.95,-0.25
2017-04-28,247.0,248.85,244.3,245.2,245.9,34876.0,703.0,8575900.0,8932.0,25.61,4.55,-1.8
2017-05-02,246.9,248.0,242.6,243.1,244.46,34285.0,744.0,8381228.0,12191.0,35.56,5.4,-3.8
2017-05-03,244.0,247.9,242.0,246.7,245.22,53112.0,1148.0,13024191.0,14881.0,28.02,5.9,2.7
2017-05-04,247.0,249.0,243.9,244.7,245.57,28293.0,563.0,6947865.0,9451.0,33.4,5.1,-2.3
2017-05-05,242.0,245.55,237.35,239.45,240.43,43235.0,840.0,10395110.0,22138.0,51.2,8.2,-2.55
2017-05-08,240.9,243.4,240.55,241.2,241.81,18725.0,445.0,4527890.0,8443.0,45.09,2.85,0.3
2017-05-09,242.5,244.1,242.1,242.9,242.95,25617.0,339.0,6223524.0,13628.0,53.2,2.0,0.4
2017-05-10,243.5,244.8,241.45,242.3,242.88,25609.0,390.0,6219978.0,11942.0,46.63,3.35,-1.2
2017-05-11,242.0,245.6,241.0,244.4,243.92,28225.0,502.0,6884630.0,10463.0,37.07,4.6,2.4
2017-05-12,242.65,246.0,239.0,242.2,243.0,80572.0,1400.0,19578965.0,26116.0,32.41,7.0,-0.45
2017-05-15,244.0,244.0,232.8,233.55,236.64,189189.0,3461.0,44770371.0,60035.0,31.73,11.2,-10.45
2017-05-16,236.35,241.8,234.1,235.15,237.19,103715.0,2452.0,24600072.0,25392.0,24.48,7.7,-1.2
2017-05-17,235.0,236.0,230.25,232.4,233.49,50026.0,937.0,11680488.0,23277.0,46.53,5.75,-2.6
2017-05-18,230.95,230.95,223.6,224.8,226.42,57069.0,1196.0,12921391.0,29585.0,51.84,7.35,-6.15
2017-05-19,225.5,227.75,217.4,218.45,220.96,50950.0,1105.0,11257887.0,22969.0,45.08,10.35,-7.05
2017-05-22,219.5,220.15,215.0,215.95,217.27,23754.0,609.0,5160963.0,10861.0,45.72,5.15,-3.55
2017-05-23,216.65,217.1,208.25,211.9,212.89,43961.0,1087.0,9358908.0,12913.0,29.37,8.85,-4.75
2017-05-24,210.65,213.85,203.2,204.0,209.46,47972.0,1023.0,10048276.0,23915.0,49.85,10.65,-6.65
2017-05-25,206.3,209.65,205.0,208.85,207.79,33935.0,832.0,7051276.0,13020.0,38.37,4.65,2.55
2017-05-26,209.65,215.6,209.65,212.65,213.14,41976.0,899.0,8946744.0,14013.0,33.38,5.95,3.0
2017-05-29,213.6,214.9,204.2,205.55,207.93,39430.0,952.0,8198497.0,15438.0,39.15,10.7,-8.05
2017-05-30,205.0,205.55,201.15,203.1,203.28,29599.0,774.0,6016959.0,11464.0,38.73,4.4,-1.9
2017-05-31,203.1,210.3,201.3,209.35,208.04,36648.0,894.0,7624225.0,10809.0,29.49,9.0,6.25
2017-06-01,209.2,219.7,209.15,218.55,217.2,85136.0,1752.0,18491216.0,22161.0,26.03,10.55,9.35
2017-06-02,218.75,221.0,213.4,214.05,216.24,31720.0,676.0,6858989.0,14381.0,45.34,7.6,-4.7
2017-06-05,214.1,218.4,213.9,216.4,215.94,20682.0,457.0,4466082.0,8542.0,41.3,4.5,2.3
2017-06-06,214.3,223.8,214.3,216.5,219.67,65748.0,1161.0,14442558.0,19275.0,29.32,9.5,2.2
2017-06-07,215.9,218.7,210.0,212.75,213.77,59939.0,645.0,12813378.0,41620.0,69.44,8.7,-3.15
2017-06-08,213.05,215.4,212.25,213.55,213.94,12240.0,275.0,2618584.0,4489.0,36.67,3.15,0.5
2017-06-09,211.45,215.0,211.45,213.4,213.54,12891.0,357.0,2752739.0,5819.0,45.14,3.55,1.95
2017-06-12,212.0,214.25,208.6,209.9,211.95,23272.0,656.0,4932470.0,11935.0,51.28,5.65,-2.1
2017-06-13,210.55,212.5,205.6,207.2,208.86,30274.0,949.0,6322977.0,12516.0,41.34,6.9,-3.35
2017-06-14,209.1,213.0,208.35,209.7,210.07,34832.0,1035.0,7317298.0,11356.0,32.6,4.65,0.6
2017-06-15,209.95,212.7,209.65,210.05,210.42,25077.0,754.0,5276669.0,10781.0,42.99,3.05,0.1
2017-06-16,210.4,214.4,210.0,210.8,211.79,32807.0,658.0,6948049.0,12290.0,37.46,4.4,0.4
2017-06-19,214.7,217.0,210.5,211.55,213.23,33675.0,755.0,7180633.0,12352.0,36.68,6.5,-3.15
2017-06-20,212.5,213.4,208.05,210.05,210.24,31766.0,770.0,6678574.0,14649.0,46.12,5.35,-2.45
2017-06-21,210.05,211.9,207.7,208.35,209.18,28387.0,734.0,5937998.0,11649.0,41.04,4.2,-1.7
2017-06-22,208.85,215.0,207.85,211.45,212.23,71059.0,744.0,15080583.0,13178.0,18.55,7.15,2.6
2017-06-23,210.2,212.75,206.5,207.3,208.49,24143.0,505.0,5033560.0,13040.0,54.01,6.25,-2.9
